Age,Salary,Loan Amount,Years at Job,Debt to Income Ratio,Credit Score,Marital Status,Employment Type,Education Level,Home Ownership,Past Loan Defaults,Loan Purpose,Number of Dependents,Phone Number,Email Address,Credit Approval
57,59722.72761171887,43902.17961383068,31,0.9466444339935463,713,Married,Self-employed,Master's,Mortgage,3,Business,4,+1-536-233-8743,john.doe@example.com,1
41,69100.66600394441,38025.94635291658,30,0.3397688271511179,324,Divorced,Unemployed,PhD,Mortgage,4,Home,2,+1-944-907-5926,john.doe@demo.org,0
20,52831.39564858249,28456.714048118673,15,0.5172393817143319,583,Single,Self-employed,PhD,Mortgage,0,Car,3,+1-894-483-5252,john.doe@testmail.com,1
39,66468.18781032754,44067.23618231961,31,0.3789102780588144,748,Single,Self-employed,Bachelor's,Own,1,Car,1,+1-326-204-3926,john.doe@example.com,0
19,81432.57226845095,16037.848951490056,31,0.006710390304059954,600,Divorced,Salaried,Bachelor's,Mortgage,2,Car,3,+1-604-978-3642,john.doe@example.com,1
41,96687.64748196014,12080.32968661367,33,0.38587450289511593,367,Married,Self-employed,PhD,Rent,1,Education,2,+1-351-377-6206,john.doe@example.com,0
61,99047.53677977146,12218.004739853244,10,0.7917202592613465,306,Married,Unemployed,Bachelor's,Rent,1,Business,2,+1-461-235-2861,john.doe@testmail.com,1
47,104051.13166890238,20030.399543535706,9,0.5959888421834818,436,Married,Unemployed,Bachelor's,Own,0,Business,2,+1-605-746-4290,john.doe@testmail.com,1
55,96979.04912489682,15741.051408545789,14,0.10125991461515893,463,Married,Self-employed,Master's,Mortgage,1,Education,0,+1-362-230-1761,john.doe@demo.org,0
19,91293.5484387218,46854.06577293824,16,0.847139489693785,382,Single,Self-employed,PhD,Own,3,Business,1,+1-348-447-3517,john.doe@testmail.com,1
38,51375.58241632229,9762.53422228628,39,0.5310853448852428,719,Married,Self-employed,Master's,Own,1,Business,3,+1-459-765-7478,john.doe@demo.org,0
50,66020.06035848224,36454.58321178144,17,0.8417233617446761,372,Divorced,Unemployed,Bachelor's,Mortgage,2,Home,3,+1-354-799-2024,john.doe@testmail.com,0
29,72994.34017922048,13514.969290325265,8,0.5802215187850294,536,Divorced,Salaried,High School,Rent,2,Business,4,+1-164-204-9488,john.doe@testmail.com,0
39,37460.21895240188,44673.67097466576,24,0.5596884448379399,345,Single,Self-employed,PhD,Mortgage,4,Education,2,+1-678-953-5649,john.doe@example.com,0
61,77553.31091674883,48259.18796832083,39,0.10525918519701238,561,Single,Unemployed,Master's,Mortgage,2,Education,2,+1-220-942-4027,john.doe@example.com,0
42,69270.22484459003,25946.15039464926,13,0.16735973313862795,475,Single,Salaried,High School,Own,1,Home,2,+1-617-473-3217,john.doe@testmail.com,1
66,102189.83241240607,44558.216610265925,24,0.9720252564965911,465,Single,Self-employed,High School,Rent,2,Education,3,+1-772-403-3697,john.doe@example.com,0
44,118011.06018788437,5231.532683962165,21,0.22848674675477076,669,Married,Self-employed,PhD,Own,0,Car,4,+1-484-729-1808,john.doe@demo.org,0
59,80040.4534778326,41897.6112833645,29,0.9774521179903679,353,Single,Unemployed,Master's,Own,2,Home,0,+1-470-107-5725,john.doe@example.com,0
45,59041.774944982535,15288.132268621559,19,0.5319127065242634,718,Divorced,Unemployed,PhD,Rent,3,Home,1,+1-472-157-3517,john.doe@demo.org,0
33,33906.07049683555,45891.558917121554,20,0.13578904706393713,806,Divorced,Salaried,High School,Own,0,Car,0,+1-334-807-2860,john.doe@testmail.com,0
32,113217.89972012363,5050.405016604927,31,0.09930220275369295,640,Married,Salaried,High School,Rent,4,Home,3,+1-313-538-4079,john.doe@testmail.com,0
64,112720.41437507934,30028.178076789063,20,0.20886407070573998,426,Married,Salaried,PhD,Own,3,Education,2,+1-921-774-1893,john.doe@testmail.com,1
68,52769.1151190317,39048.61117032206,34,0.9256373300253358,708,Divorced,Self-employed,Bachelor's,Own,1,Business,1,+1-226-950-6759,john.doe@example.com,1
61,92587.00107959828,16640.97488140586,31,0.4141502243282268,666,Single,Unemployed,PhD,Rent,1,Car,3,+1-654-826-3802,john.doe@example.com,0
69,36789.10923807923,13690.978906428189,29,0.39543426799291437,570,Divorced,Self-employed,PhD,Own,1,Business,3,+1-365-753-6654,john.doe@testmail.com,1
20,44959.388871832765,8784.42010105931,38,0.313206261070174,678,Single,Unemployed,PhD,Rent,3,Home,3,+1-813-404-9672,john.doe@testmail.com,0
54,49512.81959278421,19689.510942648183,11,0.14706185056658838,372,Divorced,Self-employed,High School,Rent,3,Car,1,+1-594-191-2760,john.doe@demo.org,0
68,56504.45521554869,30192.994053897328,17,0.48785119719240644,547,Married,Salaried,Master's,Own,3,Business,1,+1-274-428-9750,john.doe@example.com,0
24,119624.82375264337,10212.973555111595,20,0.1300477825111387,342,Single,Unemployed,Master's,Mortgage,0,Education,4,+1-494-743-6599,john.doe@example.com,0
38,92723.25502774333,21951.291289405945,12,0.8354802363823276,676,Married,Unemployed,Bachelor's,Own,0,Education,4,+1-844-921-8319,john.doe@demo.org,0
26,64578.164824129795,5408.258209372623,20,0.3703969862753065,340,Married,Self-employed,Master's,Mortgage,1,Car,0,+1-152-622-8842,john.doe@example.com,1
56,96339.06352587174,41840.57392249288,7,0.37480356778179635,469,Single,Salaried,Master's,Own,2,Car,1,+1-316-693-6584,john.doe@testmail.com,1
35,112372.89075021957,10780.192314193611,39,0.4740064284831559,511,Divorced,Self-employed,Bachelor's,Own,1,Car,1,+1-517-291-8322,john.doe@example.com,1
21,116283.21666670615,17750.432671951174,6,0.4441277131657516,792,Divorced,Unemployed,Master's,Rent,4,Home,1,+1-557-487-9406,john.doe@example.com,1
42,35207.750798193665,5829.247343219786,22,0.9948579730593216,338,Married,Unemployed,Master's,Own,0,Home,4,+1-119-214-4675,john.doe@testmail.com,0
31,65506.961874731685,24450.835275163052,31,0.5453811212183025,668,Married,Unemployed,PhD,Rent,3,Car,3,+1-496-245-8410,john.doe@testmail.com,1
67,39608.045934229594,42805.467623354845,10,0.08820170378987069,450,Married,Unemployed,Master's,Rent,0,Business,2,+1-499-581-2803,john.doe@example.com,0
26,60209.40583172669,22646.804515033848,21,0.60687734157693,410,Divorced,Unemployed,Master's,Mortgage,3,Business,4,+1-143-894-2952,john.doe@demo.org,1
43,45271.1913506009,13077.379554072504,21,0.15158429286987996,779,Divorced,Unemployed,Master's,Own,4,Car,1,+1-884-558-3369,john.doe@demo.org,1
19,88216.35255018514,38916.44753227336,24,0.030937644731341973,735,Married,Salaried,High School,Mortgage,4,Business,4,+1-666-921-4565,john.doe@testmail.com,1
37,64944.15455908849,40496.314184183495,21,0.9707421536772481,346,Divorced,Salaried,PhD,Own,0,Home,0,+1-876-570-2512,john.doe@testmail.com,1
45,50645.52711344547,12818.906388840507,27,0.7735388915345639,665,Single,Unemployed,Bachelor's,Rent,3,Education,1,+1-853-596-2385,john.doe@example.com,0
64,53934.41324678151,39688.43488434454,28,0.9801089924137669,368,Married,Self-employed,Bachelor's,Mortgage,4,Car,0,+1-658-546-8990,john.doe@example.com,1
24,62431.05856847414,47628.40497153521,12,0.47787844802224244,598,Married,Salaried,PhD,Mortgage,1,Education,1,+1-364-537-7045,john.doe@example.com,1
61,53395.48765688364,12486.991411952255,17,0.5322575311489761,595,Divorced,Self-employed,Master's,Rent,1,Car,4,+1-888-812-1127,john.doe@testmail.com,0
25,70791.6762145948,39694.293163946095,1,0.16833695591913023,502,Divorced,Self-employed,Master's,Mortgage,3,Home,3,+1-909-960-5578,john.doe@demo.org,0
64,32908.43559986854,36885.74020711832,28,0.24690742666758558,360,Single,Unemployed,Bachelor's,Own,0,Home,2,+1-913-205-8894,john.doe@demo.org,1
52,55178.71564520511,26310.82497957898,20,0.8385492149028282,613,Divorced,Unemployed,High School,Mortgage,4,Car,0,+1-957-682-9897,john.doe@testmail.com,0
31,67008.60487849676,7606.420725145923,14,0.35618564711759415,460,Divorced,Self-employed,Master's,Mortgage,0,Education,4,+1-704-869-4873,john.doe@testmail.com,0
34,84250.36938209686,8361.24879910343,26,0.826814973796419,630,Single,Unemployed,High School,Own,1,Education,3,+1-879-890-7097,john.doe@demo.org,0
53,54386.18782636169,43358.65966393914,30,0.7090137242870318,827,Divorced,Unemployed,High School,Mortgage,4,Education,4,+1-562-209-2818,john.doe@testmail.com,1
67,41986.66127013747,49556.676773779116,14,0.1771709252718655,637,Married,Salaried,PhD,Rent,0,Education,0,+1-268-900-7176,john.doe@example.com,0
57,36858.03416392468,35422.351573403954,22,0.5074463661197421,603,Single,Self-employed,High School,Rent,2,Car,2,+1-291-368-3581,john.doe@testmail.com,1
21,114647.86444218451,25068.123815464467,23,0.6773873215187168,802,Single,Unemployed,PhD,Mortgage,3,Education,4,+1-798-371-6078,john.doe@testmail.com,1
19,67497.51519646312,34140.813953085846,12,0.2350372148038251,637,Single,Salaried,Master's,Own,3,Car,1,+1-823-485-2148,john.doe@demo.org,1
23,82304.63590627437,31747.81366528454,21,0.8306885105200769,849,Single,Salaried,Bachelor's,Own,2,Car,3,+1-384-584-1108,john.doe@demo.org,1
59,112725.88966520036,22262.55171825298,36,0.5448276575451868,574,Married,Unemployed,Bachelor's,Mortgage,1,Education,4,+1-448-442-1771,john.doe@testmail.com,0
21,37447.357803177554,7953.176505830583,32,0.1652420504426032,463,Married,Self-employed,PhD,Rent,4,Home,3,+1-458-351-2554,john.doe@example.com,1
46,108899.53373332134,41968.082633334845,2,0.5829844261646024,742,Married,Unemployed,High School,Mortgage,3,Education,1,+1-169-160-1353,john.doe@example.com,0
35,79642.9085289663,21732.508815742607,18,0.999713804155914,618,Single,Salaried,Bachelor's,Rent,2,Car,2,+1-867-108-7355,john.doe@demo.org,1
43,44835.08350233009,41845.35395106921,22,0.15052149166341355,803,Divorced,Salaried,PhD,Rent,2,Home,2,+1-927-634-1991,john.doe@testmail.com,0
61,67012.96049268323,16362.893735977199,28,0.8167569301195281,686,Divorced,Salaried,PhD,Rent,1,Education,1,+1-331-359-5472,john.doe@example.com,1
51,99984.2055361703,5046.326593053503,29,0.20730900318755796,793,Married,Salaried,High School,Own,1,Home,3,+1-832-412-5670,john.doe@demo.org,0
27,73233.30736797192,12152.222747454043,38,0.7823883294600873,789,Single,Salaried,High School,Mortgage,0,Education,4,+1-684-676-7310,john.doe@testmail.com,1
53,118675.7445598954,26084.273754586295,24,0.7345779231214132,372,Divorced,Salaried,PhD,Mortgage,3,Home,1,+1-171-922-1925,john.doe@demo.org,1
31,63906.50729441467,47493.66357310234,36,0.30048938560043237,808,Divorced,Unemployed,Master's,Rent,0,Car,0,+1-532-940-9248,john.doe@testmail.com,0
48,97462.04699784648,9598.712886217354,7,0.3258231175644498,689,Divorced,Self-employed,High School,Mortgage,2,Car,3,+1-288-392-2527,john.doe@demo.org,1
65,65369.05040809732,43439.43985077047,15,0.7925213919629192,594,Married,Salaried,Bachelor's,Rent,4,Business,2,+1-857-333-5209,john.doe@example.com,1
32,104624.7798635863,28716.084329533795,7,0.46144551188731264,668,Divorced,Self-employed,Bachelor's,Rent,4,Car,1,+1-723-936-5513,john.doe@demo.org,1
25,81217.33222491728,42166.43446099535,0,0.7308180287118088,848,Single,Self-employed,High School,Mortgage,1,Car,2,+1-618-790-6286,john.doe@example.com,0
31,35716.06466310012,18426.849394549667,4,0.14798414736583476,486,Single,Salaried,Master's,Own,4,Business,3,+1-473-384-6699,john.doe@testmail.com,1
40,33313.96808723923,42797.62241026123,2,0.8525577819015535,744,Divorced,Self-employed,Bachelor's,Mortgage,4,Education,2,+1-501-301-9886,john.doe@demo.org,1
57,42046.69069205699,39777.025100756204,0,0.7108847166823191,662,Divorced,Self-employed,High School,Rent,4,Home,1,+1-500-333-6748,john.doe@demo.org,0
38,31230.476834429755,15352.415736414527,3,0.9069428088348339,422,Divorced,Unemployed,High School,Rent,2,Car,3,+1-618-553-2544,john.doe@example.com,0
33,36782.31543172161,10910.080688422013,39,0.13237237903497245,487,Divorced,Self-employed,High School,Mortgage,4,Car,0,+1-993-195-6641,john.doe@testmail.com,0
62,92254.29574520208,44062.44451395318,34,0.5930145003605977,719,Single,Salaried,Master's,Own,4,Car,1,+1-279-713-6882,john.doe@example.com,0
35,78091.16475265168,48345.64940480593,31,0.5991205850403252,551,Single,Self-employed,PhD,Own,4,Car,4,+1-653-746-1612,john.doe@testmail.com,0
64,97491.96745229747,6408.604118638231,33,0.35346074054678245,848,Married,Unemployed,High School,Own,0,Home,1,+1-370-722-8833,john.doe@demo.org,1
41,112184.91770318785,37907.15301381585,24,0.4584664245692578,634,Single,Self-employed,Master's,Rent,2,Education,3,+1-793-922-1727,john.doe@demo.org,1
43,82663.45790929248,45928.602992651824,9,0.03798156328985347,391,Divorced,Self-employed,PhD,Own,1,Business,1,+1-829-948-3325,john.doe@testmail.com,1
42,95350.87596646632,43581.20414416244,20,0.745860038627012,829,Divorced,Unemployed,Bachelor's,Mortgage,0,Car,0,+1-720-801-8298,john.doe@example.com,0
62,98137.30818382103,48403.42125215939,38,0.549322479403174,362,Single,Self-employed,High School,Own,3,Home,0,+1-767-687-5861,john.doe@testmail.com,1
58,64006.54943482078,39204.23352971437,26,0.057741051869173776,811,Divorced,Unemployed,Master's,Mortgage,2,Car,4,+1-227-932-5914,john.doe@demo.org,0
46,51697.63490966687,24903.444307140962,26,0.6807558929604856,438,Married,Salaried,High School,Rent,2,Education,2,+1-511-181-3377,john.doe@testmail.com,0
32,48454.07956558724,19037.83957228087,1,0.4667820772311879,484,Married,Salaried,PhD,Mortgage,3,Education,3,+1-607-764-5573,john.doe@example.com,1
62,52629.81955606186,19433.423319715737,12,0.034461259425,504,Single,Self-employed,High School,Mortgage,3,Home,3,+1-230-273-7085,john.doe@demo.org,0
18,54725.86173233179,37599.020267635264,8,0.9696077268480954,513,Married,Self-employed,PhD,Own,3,Car,2,+1-205-784-1223,john.doe@testmail.com,0
42,48650.488410725084,38562.66554139339,35,0.9491121430894405,555,Single,Salaried,Bachelor's,Rent,1,Home,0,+1-202-854-1754,john.doe@testmail.com,1
24,109039.8600731273,14016.16145969207,21,0.5129024161471976,434,Married,Unemployed,Bachelor's,Mortgage,4,Car,0,+1-344-596-1532,john.doe@example.com,0
26,98129.92189550058,44065.526607073894,25,0.0936724207059102,387,Divorced,Salaried,Bachelor's,Mortgage,2,Home,1,+1-383-245-8235,john.doe@example.com,0
41,34220.68210120979,37171.581809101146,11,0.7546212215985918,506,Married,Unemployed,Master's,Rent,4,Business,4,+1-302-832-4765,john.doe@demo.org,1
18,54180.523382277664,30323.76288545222,16,0.49193110010572905,428,Married,Salaried,PhD,Rent,4,Business,4,+1-280-424-4736,john.doe@example.com,0
61,31996.626782727148,26218.960704613073,13,0.3024474782893799,302,Married,Unemployed,Master's,Own,3,Car,4,+1-913-468-6859,john.doe@example.com,0
25,74834.86679813036,29445.476260548116,13,0.49141817752855677,420,Single,Self-employed,High School,Own,1,Education,1,+1-459-744-5370,john.doe@demo.org,1
41,72858.96271101128,12166.058222566902,33,0.5224441454054645,684,Divorced,Salaried,Bachelor's,Mortgage,0,Home,4,+1-835-297-5941,john.doe@testmail.com,1
28,104823.43410562511,14166.556217432339,19,0.5627116990223392,337,Divorced,Salaried,Bachelor's,Mortgage,1,Education,2,+1-562-500-4055,john.doe@demo.org,1
68,57699.951579394445,9102.402068278625,10,0.44122371365532653,640,Divorced,Unemployed,High School,Own,4,Business,1,+1-553-919-8763,john.doe@example.com,1
34,103474.7161691756,11914.61171725007,15,0.6057553031390567,320,Single,Salaried,Master's,Mortgage,1,Education,2,+1-814-713-2602,john.doe@testmail.com,0
25,117117.63888958408,25416.21355723772,30,0.9187347106063773,541,Single,Self-employed,PhD,Own,3,Business,1,+1-344-405-7097,john.doe@example.com,0
52,37956.740102908196,28865.947717771523,5,0.36226808709859115,754,Married,Self-employed,PhD,Rent,0,Home,4,+1-306-710-2379,john.doe@demo.org,1
52,101263.60555226696,5803.785161524372,18,0.7257164632199491,602,Divorced,Self-employed,Bachelor's,Own,3,Car,2,+1-180-970-4722,john.doe@testmail.com,0
50,83096.03074238724,40855.90225388124,36,0.8944525568242322,368,Single,Unemployed,Master's,Own,0,Business,2,+1-214-638-6718,john.doe@demo.org,0
22,73204.13703166276,18237.558800456507,3,0.4559792757599369,428,Single,Unemployed,High School,Own,4,Business,2,+1-926-982-2566,john.doe@demo.org,1
59,67848.22007985675,46032.621573196,3,0.4434558363819041,495,Divorced,Unemployed,PhD,Rent,0,Home,1,+1-720-931-9720,john.doe@example.com,1
56,100620.14375498786,48538.00686261999,19,0.6021169853547795,439,Married,Unemployed,Bachelor's,Rent,0,Home,3,+1-457-725-2913,john.doe@testmail.com,0
58,87542.52212768182,13345.649360449444,9,0.5914067594224881,743,Married,Salaried,PhD,Own,0,Home,4,+1-565-786-8696,john.doe@example.com,1
45,102454.02007674257,25794.37808445473,23,0.806589342326277,582,Divorced,Self-employed,High School,Own,1,Home,2,+1-530-420-5366,john.doe@testmail.com,1
24,111283.59528089636,5055.432582489165,34,0.4764833837782927,611,Divorced,Self-employed,High School,Mortgage,1,Education,3,+1-431-699-1820,john.doe@testmail.com,1
26,85553.73408875629,31924.726930509212,25,0.9961229496394411,834,Married,Self-employed,High School,Mortgage,4,Business,4,+1-644-799-2982,john.doe@example.com,0
25,118241.645258314,32328.790171820205,36,0.05947156886728078,576,Married,Salaried,Bachelor's,Own,0,Education,4,+1-228-186-7487,john.doe@testmail.com,1
29,84727.90645876966,16139.298002151882,37,0.0031678485807017376,360,Married,Unemployed,High School,Rent,2,Education,2,+1-640-618-2258,john.doe@demo.org,0
51,87297.98894600544,30128.570266243907,20,0.6401983115596238,618,Divorced,Self-employed,Master's,Mortgage,4,Car,2,+1-721-855-9647,john.doe@demo.org,0
50,79933.4047688003,15149.306409968094,39,0.2984349123618767,351,Divorced,Salaried,High School,Own,0,Car,1,+1-165-339-5809,john.doe@testmail.com,0
65,38190.188194619725,12237.146108518553,38,0.2403823886994838,452,Single,Salaried,Bachelor's,Rent,0,Home,3,+1-836-217-1343,john.doe@demo.org,1
40,95375.73293852055,34318.37600610191,20,0.31189908000428046,610,Single,Self-employed,Master's,Own,1,Education,3,+1-179-631-3566,john.doe@demo.org,1
41,79270.16762092004,19666.64587784337,9,0.2560475651049543,843,Divorced,Unemployed,Bachelor's,Mortgage,4,Home,2,+1-106-170-1679,john.doe@testmail.com,1
54,70581.94026744939,31561.87724985301,37,0.03079004966044785,688,Married,Unemployed,High School,Mortgage,0,Business,4,+1-797-764-1259,john.doe@testmail.com,1
52,111942.41505629457,24496.1037037245,3,0.9715330423905887,847,Single,Self-employed,PhD,Own,0,Car,2,+1-275-448-5280,john.doe@testmail.com,1
61,56816.35063877554,49295.813333130674,19,0.22074548845278175,476,Divorced,Salaried,PhD,Rent,4,Business,4,+1-264-986-5246,john.doe@demo.org,0
57,77124.204841351,11731.12892004046,16,0.7340297625893063,661,Single,Unemployed,PhD,Rent,2,Home,4,+1-749-623-3217,john.doe@demo.org,0
39,92787.7684344117,25906.936848611458,6,0.7625963946941753,613,Married,Unemployed,High School,Own,4,Business,2,+1-197-390-2024,john.doe@example.com,0
44,101682.45981064896,35620.54818616963,3,0.9292573980072293,396,Single,Unemployed,High School,Rent,4,Education,0,+1-635-694-6800,john.doe@testmail.com,1
52,71341.21271515552,22799.52877459859,28,0.030549457093379973,512,Single,Unemployed,High School,Rent,2,Education,3,+1-959-376-9153,john.doe@example.com,0
18,105788.22735168388,48861.49333418105,13,0.8720483384470077,436,Married,Unemployed,Bachelor's,Mortgage,4,Car,4,+1-874-798-3653,john.doe@demo.org,0
52,99202.59671838577,37484.94325671208,2,0.5272261808398002,305,Single,Unemployed,PhD,Mortgage,0,Home,4,+1-991-230-8092,john.doe@demo.org,1
54,35961.238006667925,34564.27359040218,23,0.6325441099658279,408,Divorced,Salaried,PhD,Mortgage,4,Home,0,+1-483-222-1561,john.doe@testmail.com,1
64,34127.513976416965,39067.66704250505,36,0.6444702771210337,846,Married,Unemployed,Master's,Own,2,Car,1,+1-799-386-3228,john.doe@example.com,0
31,85872.51159798822,47869.18871174227,15,0.8197978049847275,338,Single,Self-employed,Bachelor's,Mortgage,3,Education,0,+1-453-963-1501,john.doe@demo.org,0
20,61267.20674028728,45851.839384308805,3,0.3334073221591105,724,Divorced,Salaried,Master's,Mortgage,4,Education,0,+1-313-376-8304,john.doe@demo.org,1
18,48821.77119706628,37592.838865688536,23,0.7330511898599934,560,Single,Self-employed,PhD,Own,1,Car,4,+1-857-759-8810,john.doe@demo.org,1
22,82168.49410245646,38712.27375955774,33,0.5285781097221971,725,Divorced,Unemployed,Bachelor's,Own,0,Education,3,+1-772-224-5942,john.doe@testmail.com,1
43,60740.68894108906,11566.493331581545,29,0.7933940143053477,386,Married,Unemployed,PhD,Rent,0,Car,0,+1-780-527-1171,john.doe@example.com,1
31,78353.7075042663,9625.658202169956,17,0.9905460327701334,764,Single,Self-employed,Master's,Own,1,Business,1,+1-869-693-9147,john.doe@testmail.com,0
56,71410.72430852149,30690.702582987393,18,0.20065101740376123,375,Married,Unemployed,Master's,Own,1,Business,2,+1-756-402-2107,john.doe@testmail.com,0
44,82628.94953542383,5826.5436623243,30,0.9946486415599979,770,Single,Salaried,High School,Rent,4,Car,0,+1-286-643-6658,john.doe@example.com,1
26,66027.04400192533,26706.03716982162,18,0.089812154282774,713,Single,Unemployed,Master's,Rent,1,Car,0,+1-272-309-9291,john.doe@demo.org,0
32,92790.08163272386,14465.731096349087,18,0.002317547904813866,756,Single,Salaried,High School,Mortgage,3,Education,1,+1-675-524-5639,john.doe@testmail.com,0
32,46206.05451143687,20570.74554401778,21,0.04416193617783126,584,Married,Self-employed,PhD,Mortgage,2,Car,3,+1-873-834-6003,john.doe@demo.org,1
43,92685.13196043711,39911.21311068302,23,0.3417824047367617,538,Divorced,Unemployed,Bachelor's,Own,1,Car,0,+1-495-199-4109,john.doe@demo.org,0
59,67049.50929217754,47355.687690457395,11,0.6329063306784342,671,Single,Salaried,Bachelor's,Own,1,Education,0,+1-141-688-7508,john.doe@demo.org,0
30,108688.58443689754,8258.732246585369,29,0.06902954088784963,794,Divorced,Unemployed,High School,Own,3,Home,3,+1-653-714-9687,john.doe@testmail.com,0
68,76371.24493777897,29040.89926894003,37,0.00566581452956727,344,Single,Salaried,PhD,Rent,0,Business,1,+1-251-450-4769,john.doe@example.com,1
49,117579.93143430939,44714.006861882,30,0.9370910284587948,700,Married,Salaried,Master's,Own,0,Business,0,+1-507-296-6167,john.doe@example.com,1
56,84174.18559868642,8712.884049818957,35,0.8219266359399297,546,Divorced,Unemployed,Master's,Own,4,Education,3,+1-828-232-8356,john.doe@demo.org,0
66,50146.41593156885,42103.132110357525,18,0.809183171139031,749,Married,Self-employed,PhD,Rent,3,Home,0,+1-395-850-7245,john.doe@demo.org,1
69,103961.15731600043,21101.06079177221,35,0.8844242755019771,784,Married,Unemployed,Master's,Rent,2,Education,2,+1-925-804-6685,john.doe@demo.org,1
49,61057.43650401481,19494.26159987009,29,0.7000342727721044,317,Single,Unemployed,Master's,Rent,2,Car,4,+1-828-200-3848,john.doe@demo.org,1
21,61285.72930344152,48985.98738416536,32,0.10440412974808144,588,Married,Unemployed,PhD,Mortgage,3,Car,2,+1-903-785-1286,john.doe@testmail.com,0
47,32862.42133366486,14038.659043803238,17,0.39910018807372305,713,Single,Salaried,PhD,Rent,2,Business,0,+1-607-781-8046,john.doe@testmail.com,0
54,79384.37782866678,36193.72733702064,27,0.7231494864646295,534,Single,Salaried,PhD,Mortgage,0,Business,1,+1-598-273-2945,john.doe@example.com,1
40,78098.11533592707,41964.83276044399,10,0.2803344607915209,715,Divorced,Salaried,Bachelor's,Mortgage,2,Home,4,+1-830-911-3578,john.doe@demo.org,0
56,62039.23358447875,6853.257287567225,32,0.6874063641362376,798,Divorced,Salaried,PhD,Mortgage,2,Education,2,+1-122-728-1258,john.doe@demo.org,0
62,110479.55366063332,35167.345625948554,16,0.02449844826765235,414,Married,Unemployed,Master's,Own,3,Business,3,+1-857-853-1138,john.doe@example.com,0
32,41587.355846967956,47819.748845989714,5,0.3061373408795932,533,Divorced,Unemployed,High School,Rent,3,Car,1,+1-535-432-3341,john.doe@demo.org,0
60,59708.95619791398,10589.89850276267,3,0.5491303362771727,839,Single,Unemployed,Master's,Own,2,Business,2,+1-346-939-4995,john.doe@example.com,0
46,58942.448821202604,45329.95862082672,19,0.6320898295062423,310,Divorced,Salaried,Master's,Own,1,Education,3,+1-309-884-8020,john.doe@example.com,1
53,38306.152760587145,31764.948681962123,26,0.5770406644619108,505,Divorced,Salaried,Master's,Mortgage,3,Education,0,+1-148-960-6828,john.doe@example.com,0
30,73303.0854650664,32747.20618381133,14,0.6977562760734295,546,Divorced,Unemployed,PhD,Own,4,Car,3,+1-623-591-1732,john.doe@demo.org,0
49,91900.62453864748,32582.487868952267,5,0.00608874823983907,426,Single,Self-employed,Bachelor's,Own,4,Car,2,+1-802-819-5242,john.doe@example.com,0
24,76049.13121925351,18447.614885179122,13,0.10094119997752149,446,Single,Unemployed,High School,Mortgage,0,Home,2,+1-800-566-4935,john.doe@demo.org,1
68,44127.99144445744,47084.081688475686,10,0.8689442522791451,417,Divorced,Unemployed,PhD,Mortgage,2,Home,0,+1-464-991-9460,john.doe@example.com,1
